datetime,parameter,concentration,AQI,AQI cat,station_name
2022-12-25T16:00,PM10,16.0,15,1,Modesto - 14th Street
2022-12-25T16:00,PM2.5,8.4,35,1,Cle Elum Mobile
2022-12-25T16:00,PM2.5,4.8,20,1,Colfax
2022-12-25T16:00,PM2.5,0.3,1,1,Quincy
2022-12-25T16:00,PM2.5,5.5,23,1,FORT ST JOHN LEARNING CENTRE
2022-12-25T16:00,PM10,8.0,7,1,FORT ST JOHN LEARNING CENTRE
2022-12-25T16:00,PM2.5,8.4,35,1,Prineville - Davidson Park
2022-12-25T16:00,PM2.5,9.9,41,1,Turlock - S. Minaret Street
2022-12-25T16:00,PM10,13.0,12,1,Turlock - S. Minaret Street
2022-12-25T16:00,PM2.5,12.4,52,2,San Andreas
2022-12-25T16:00,PM10,14.0,13,1,San Andreas
2022-12-25T16:00,PM2.5,8.4,35,1,Leavenworth-Evans St
2022-12-25T16:00,PM10,12.0,11,1,Paso Robles - Santa Fe Ave
2022-12-25T16:00,PM2.5,2.6,11,1,SLO Roberto
2022-12-25T16:00,PM10,6.0,6,1,SLO Roberto
2022-12-25T16:00,PM2.5,17.9,63,2,Peshastin Mobile
2022-12-25T16:00,PM2.5,4.4,18,1,Nipomo Mesa CDF
2022-12-25T16:00,PM10,7.0,6,1,Nipomo Mesa CDF
2022-12-25T16:00,PM2.5,4.2,18,1,Mesa 2 /Nipomo
2022-12-25T16:00,PM10,7.0,6,1,Mesa 2 /Nipomo
2022-12-25T16:00,PM2.5,17.9,63,2,Ellensburg-Ruby St
2022-12-25T16:00,PM2.5,0.0,0,1,MMCA82034
2022-12-25T16:00,PM2.5,19.2,66,2,Yakima-4th Ave
2022-12-25T16:00,PM10,21.0,19,1,Yakima-4th Ave
2022-12-25T16:00,PM10,3.0,3,1,Nipomo RP
2022-12-25T16:00,PM2.5,16.9,61,2,Merced-M St
2022-12-25T16:00,PM10,21.0,19,1,Merced-M St
2022-12-25T16:00,PM2.5,16.7,61,2,Cashmere Mobile
2022-12-25T16:00,PM2.5,18.9,65,2,Portola
2022-12-25T16:00,PM2.5,2.8,12,1,Lompoc H Street
2022-12-25T16:00,PM10,11.0,10,1,Lompoc H Street
2022-12-25T16:00,PM2.5,17.4,62,2,Merced - S. Coffee Ave
2022-12-25T16:00,PM2.5,7.2,30,1,Santa Maria
2022-12-25T16:00,PM10,8.0,7,1,Santa Maria
2022-12-25T16:00,PM2.5,7.1,30,1,Tranquillity
2022-12-25T16:00,PM2.5,15.5,58,2,Lakeview - Center & M
2022-12-25T16:00,PM2.5,9.0,38,1,Wenatchee-Fifth St
2022-12-25T16:00,PM2.5,4.8,20,1,Kamloops Federal Building
2022-12-25T16:00,PM2.5,11.5,48,1,Toppenish-Yakama Tribe
2022-12-25T16:00,PM2.5,14.8,57,2,Truckee BAM
2022-12-25T16:00,PM2.5,6.8,28,1,Tahoe City
2022-12-25T16:00,PM2.5,0.0,0,1,MMCA82019
2022-12-25T16:00,PM2.5,8.7,36,1,Twisp-Ewell St
2022-12-25T16:00,PM2.5,2.9,12,1,Huron
2022-12-25T16:00,PM2.5,1.4,6,1,Santa Ynez
2022-12-25T16:00,PM10,2.0,2,1,Las Flores Canyon
2022-12-25T16:00,PM2.5,17.0,61,2,Madera-City
2022-12-25T16:00,PM10,20.0,19,1,Madera-City
2022-12-25T16:00,PM2.5,3.7,15,1,Chelan-Woodin Ave
2022-12-25T16:00,PM2.5,17.8,63,2,Sunnyside-S 16th
2022-12-25T16:00,PM10,5.0,5,1,South Lake Tahoe - Sandy Way
2022-12-25T16:00,PM2.5,6.7,28,1,Quincy 3rd
2022-12-25T16:00,PM10,4.0,4,1,Goleta
2022-12-25T16:00,PM2.5,0.0,0,1,Goleta
2022-12-25T16:00,PM2.5,14.5,56,2,Reno4
2022-12-25T16:00,PM10,21.0,19,1,Reno4
2022-12-25T16:00,PM2.5,7.2,30,1,Brewster Mobile
2022-12-25T16:00,PM2.5,14.6,56,2,Fresno-Foundry Park
2022-12-25T16:00,PM2.5,14.1,55,2,Fresno - Garland
2022-12-25T16:00,PM10,14.0,13,1,Fresno - Garland
2022-12-25T16:00,PM2.5,14.0,55,2,CC_Armory
2022-12-25T16:00,PM10,15.0,14,1,Santa Rosa Rancheria
2022-12-25T16:00,PM2.5,8.1,34,1,Prosser-Highland Dr
2022-12-25T16:00,PM2.5,30.5,90,2,Sparks
2022-12-25T16:00,PM10,40.0,37,1,Sparks
2022-12-25T16:00,PM10,15.0,14,1,Fresno - Drummond Street
2022-12-25T16:00,PM2.5,7.8,33,1,Toll
