datetime,pm_25_conc,pm_25_AQI,pm_25_AQI_cat,station_name
2022-12-24T00:00,10.2,43,1,Temecula (Lake Skinner)
2022-12-24T00:00,3.1,13,1,Ontario May Roberts Elementary School
2022-12-24T00:00,15.1,57,2,El Cajon - Lexington Elementary School
2022-12-24T00:00,24.1,76,2,Otay Mesa - Donovan
2022-12-24T00:00,3.7,15,1,Big Bear
2022-12-24T00:00,9.3,39,1,Banning - South Hathaway Street
2022-12-24T00:00,8.2,34,1,Alpine
2022-12-24T00:00,2.1,9,1,Nampa Fire Station
2022-12-24T00:00,5.8,24,1,St. Lukes Meridian
2022-12-24T00:00,5.5,23,1,Garden City
2022-12-24T00:00,9.4,39,1,Indio-29 Palms
2022-12-24T00:00,11.7,49,1,McCall
2022-12-24T00:00,13.0,53,2,Salton Sea Beach
2022-12-24T00:00,5.5,23,1,Garden Valley
2022-12-24T00:00,5.9,25,1,Idaho City
2022-12-24T00:00,4.4,18,1,El Centro - 9th Street
2022-12-24T00:00,4.4,18,1,Brawley - 220 Main Street
2022-12-24T00:00,14.1,55,2,Calexico - Ethel Street
2022-12-24T00:00,4.0,17,1,Jean
2022-12-24T00:00,10.2,43,1,Palo Verde
2022-12-24T00:00,8.4,35,1,Mountains Edge
2022-12-24T00:00,10.3,43,1,Walter Johnson
2022-12-24T00:00,12.9,53,2,Paul Meyer
2022-12-24T00:00,9.9,41,1,Joe Neal
2022-12-24T00:00,6.8,28,1,RT
2022-12-24T00:00,7.1,30,1,Liberty High School
2022-12-24T00:00,7.1,30,1,Sunrise Acres
2022-12-24T00:00,6.4,27,1,Walnut Rec.
2022-12-24T00:00,7.4,31,1,Jerome Mack
2022-12-24T00:00,5.3,22,1,GreenValley
2022-12-24T00:00,3.4,14,1,Garrett Jr. High
2022-12-24T00:00,3.1,13,1,Yuma Supersite
2022-12-24T00:00,6.8,28,1,Twin Falls PM25
2022-12-24T00:00,6.4,27,1,Ketchum
2022-12-24T00:00,2.2,9,1,Virgin Valley
2022-12-24T00:00,13.9,55,2,Salmon PM2.5
2022-12-24T00:00,0.0,0,1,Alamo Lake
2022-12-24T00:00,2.2,9,1,Hurricane
2022-12-24T00:00,5.9,25,1,Enoch
2022-12-24T00:00,11.4,48,1,Dillon
2022-12-24T00:00,4.5,19,1,Pocatello Garrett and Gould
2022-12-24T00:00,4.9,20,1,Erda
