station_name,datetime,pm_10_conc,pm_10_AQI,pm_10_cat,pm_25_conc,pm_25_AQI,pm_25_AQI_cat
Healdton,2022-12-24T00:00,11.0,10.0,1.0,2.3,10.0,1.0
North OKC,2022-12-24T00:00,14.0,13.0,1.0,3.0,13.0,1.0
PECK,2022-12-24T00:00,21.0,19.0,1.0,3.0,13.0,1.0
WHlthDpt,2022-12-24T00:00,22.0,20.0,1.0,3.9,16.0,1.0
Watertown,2022-12-24T00:00,8.0,7.0,1.0,4.9,20.0,1.0
Ponca City,2022-12-24T00:00,14.0,13.0,1.0,3.5,15.0,1.0
Research Farm,2022-12-24T00:00,17.0,16.0,1.0,,,
WWTP BAM,2022-12-24T00:00,12.0,11.0,1.0,,,
Glenpool,2022-12-24T00:00,13.0,12.0,1.0,3.3,14.0,1.0
NCORE,2022-12-24T00:00,15.0,14.0,1.0,4.2,18.0,1.0
McAlester,2022-12-24T00:00,15.0,14.0,1.0,3.6,15.0,1.0
KNI-Topeka,2022-12-24T00:00,14.0,13.0,1.0,3.4,14.0,1.0
Union,2022-12-24T00:00,14.0,13.0,1.0,3.8,16.0,1.0
St. Joseph,2022-12-24T00:00,14.0,13.0,1.0,2.1,9.0,1.0
Heritage Park,2022-12-24T00:00,11.0,10.0,1.0,3.9,16.0,1.0
Troost,2022-12-24T00:00,53.0,49.0,1.0,2.1,9.0,1.0
Carthage,2022-12-24T00:00,9.0,8.0,1.0,6.4,27.0,1.0
Hillcrest HS,2022-12-24T00:00,13.0,12.0,1.0,0.1,0.0,1.0
Minneapolis-Pacific St,2022-12-24T00:00,12.0,11.0,1.0,,,
Minneapolis-Lowry Ave,2022-12-24T00:00,7.0,6.0,1.0,,,
Minneapolis - Bottineau/Marshall Terrace,2022-12-24T00:00,9.0,8.0,1.0,,,
Blaine,2022-12-24T00:00,2.0,2.0,1.0,,,
St. Paul - Downtown,2022-12-24T00:00,11.0,10.0,1.0,,,
Mark Twain SP,2022-12-24T00:00,9.0,8.0,1.0,,,
Eau Claire,2022-12-24T00:00,10.0,9.0,1.0,5.1,21.0,1.0
Buffalo,2022-12-24T00:00,67.0,57.0,2.0,3.0,13.0,1.0
Arnold West,2022-12-24T00:00,8.0,7.0,1.0,5.6,23.0,1.0
Blair Street,2022-12-24T00:00,14.0,13.0,1.0,3.2,13.0,1.0
Branch Street,2022-12-24T00:00,19.0,18.0,1.0,2.2,9.0,1.0
Jackson NCORE,2022-12-24T00:00,8.0,7.0,1.0,4.2,18.0,1.0
Devils Lake,2022-12-24T00:00,11.0,10.0,1.0,5.3,22.0,1.0
Madison University Ave,2022-12-24T00:00,11.0,10.0,1.0,5.5,23.0,1.0
Horicon Wildlife Area,2022-12-24T00:00,14.0,13.0,1.0,4.9,20.0,1.0
WAUKESHA - CLEVELAND AVE,2022-12-24T00:00,44.0,41.0,1.0,6.7,28.0,1.0
MILWAUKEE COLLEGE AVE.-NR,2022-12-24T00:00,23.0,21.0,1.0,5.8,24.0,1.0
Evansville-Buena Vista,2022-12-24T00:00,17.0,16.0,1.0,6.5,27.0,1.0
Gary-IITRI,2022-12-24T00:00,48.0,44.0,1.0,,,
Ellyson Industrial Park,2022-12-24T00:00,8.0,7.0,1.0,3.3,14.0,1.0
Portage-Hwy 12,2022-12-24T00:00,17.0,16.0,1.0,,,
WYLAM,2022-12-24T00:00,8.0,7.0,1.0,5.3,22.0,1.0
NO. BHAM,2022-12-24T00:00,10.0,9.0,1.0,6.0,25.0,1.0
Shuttlesworth,2022-12-24T00:00,6.0,6.0,1.0,6.2,26.0,1.0
Indpls-Washington Park,2022-12-24T00:00,41.0,38.0,1.0,8.0,33.0,1.0
WATSON,2022-12-24T00:00,18.0,17.0,1.0,7.1,30.0,1.0
JENISON,2022-12-24T00:00,15.0,14.0,1.0,4.3,18.0,1.0
Algonquin Parkway,2022-12-24T00:00,20.0,19.0,1.0,6.3,26.0,1.0
Near Road,2022-12-24T00:00,17.0,16.0,1.0,6.8,28.0,1.0
