datetime,pm_10_conc,pm_10_AQI,pm_10_cat,station_name
2022-12-24T00:00,4.0,4,1,Ute 3
2022-12-24T00:00,35.0,32,1,7E Deming Airport
2022-12-24T00:00,8.0,7,1,Ute 1
2022-12-24T00:00,27.0,25,1,Holman Rd
2022-12-24T00:00,38.0,35,1,South Valley
2022-12-24T00:00,40.0,37,1,Jefferson
2022-12-24T00:00,39.0,36,1,North Valley
2022-12-24T00:00,35.0,32,1,Anthony
2022-12-24T00:00,33.0,31,1,Del Norte
2022-12-24T00:00,34.0,31,1,Desert View
2022-12-24T00:00,26.0,24,1,West Mesa
2022-12-24T00:00,29.0,27,1,Tramway
2022-12-24T00:00,24.0,22,1,Chaparral
2022-12-24T00:00,20.0,19,1,Socorro Hueco C49
2022-12-24T00:00,17.0,16,1,Ft. Collins - CSU Facilities
2022-12-24T00:00,28.0,26,1,La Casa NCORE - 4545 Navajo St.
2022-12-24T00:00,17.0,16,1,Denver Swansea Elementary School
2022-12-24T00:00,10.0,9,1,Welby - 78th Ave. & Steele St.
2022-12-24T00:00,24.0,22,1,Denver - NJH - 14th Ave. & Albion St.
2022-12-24T00:00,0.0,0,1,WIND CAVE
2022-12-24T00:00,4.0,4,1,Black Hawk
2022-12-24T00:00,17.0,16,1,Badlands
2022-12-24T00:00,17.0,16,1,Goodland
2022-12-24T00:00,15.0,14,1,Dodge City
2022-12-24T00:00,22.0,20,1,Cedar Bluff
2022-12-24T00:00,11.0,10,1,Seiling
2022-12-24T00:00,15.0,14,1,Near Road OKC
2022-12-24T00:00,17.0,16,1,Moore
2022-12-24T00:00,11.0,10,1,Healdton
2022-12-24T00:00,14.0,13,1,North OKC
2022-12-24T00:00,21.0,19,1,PECK
2022-12-24T00:00,22.0,20,1,WHlthDpt
2022-12-24T00:00,8.0,7,1,Watertown
2022-12-24T00:00,14.0,13,1,Ponca City
2022-12-24T00:00,17.0,16,1,Research Farm
2022-12-24T00:00,12.0,11,1,WWTP BAM
2022-12-24T00:00,13.0,12,1,Glenpool
2022-12-24T00:00,15.0,14,1,NCORE
2022-12-24T00:00,15.0,14,1,McAlester
2022-12-24T00:00,14.0,13,1,KNI-Topeka
2022-12-24T00:00,14.0,13,1,Union
2022-12-24T00:00,14.0,13,1,St. Joseph
2022-12-24T00:00,11.0,10,1,Heritage Park
2022-12-24T00:00,53.0,49,1,Troost
2022-12-24T00:00,9.0,8,1,Carthage
2022-12-24T00:00,13.0,12,1,Hillcrest HS
2022-12-24T00:00,12.0,11,1,Minneapolis-Pacific St
2022-12-24T00:00,7.0,6,1,Minneapolis-Lowry Ave
2022-12-24T00:00,9.0,8,1,Minneapolis - Bottineau/Marshall Terrace
2022-12-24T00:00,2.0,2,1,Blaine
2022-12-24T00:00,11.0,10,1,St. Paul - Downtown
2022-12-24T00:00,9.0,8,1,Mark Twain SP
2022-12-24T00:00,10.0,9,1,Eau Claire
2022-12-24T00:00,67.0,57,2,Buffalo
2022-12-24T00:00,8.0,7,1,Arnold West
2022-12-24T00:00,14.0,13,1,Blair Street
2022-12-24T00:00,19.0,18,1,Branch Street
2022-12-24T00:00,8.0,7,1,Jackson NCORE
2022-12-24T00:00,11.0,10,1,Devils Lake
2022-12-24T00:00,11.0,10,1,Madison University Ave
2022-12-24T00:00,14.0,13,1,Horicon Wildlife Area
2022-12-24T00:00,44.0,41,1,WAUKESHA - CLEVELAND AVE
2022-12-24T00:00,23.0,21,1,MILWAUKEE COLLEGE AVE.-NR
2022-12-24T00:00,17.0,16,1,Evansville-Buena Vista
2022-12-24T00:00,48.0,44,1,Gary-IITRI
2022-12-24T00:00,8.0,7,1,Ellyson Industrial Park
2022-12-24T00:00,17.0,16,1,Portage-Hwy 12
2022-12-24T00:00,8.0,7,1,WYLAM
2022-12-24T00:00,10.0,9,1,NO. BHAM
2022-12-24T00:00,6.0,6,1,Shuttlesworth
2022-12-24T00:00,41.0,38,1,Indpls-Washington Park
2022-12-24T00:00,18.0,17,1,WATSON
2022-12-24T00:00,15.0,14,1,JENISON
2022-12-24T00:00,20.0,19,1,Algonquin Parkway
2022-12-24T00:00,17.0,16,1,Near Road
2022-12-24T00:00,55.0,51,2,GRAND RAPIDS
2022-12-24T00:00,18.0,17,1,Cannons Lane
2022-12-24T00:00,18.0,17,1,Carrithers Middle School
2022-12-24T00:00,14.0,13,1,Rossville-Williams St
2022-12-24T00:00,7.0,6,1,Columbus Airport
2022-12-24T00:00,16.0,15,1,Taft NCore
2022-12-24T00:00,8.0,7,1,Gwinnett Tech
2022-12-24T00:00,8.0,7,1,Gainesville
2022-12-24T00:00,5.0,5,1,Warner Robins
2022-12-24T00:00,7.0,6,1,Macon Forestry
2022-12-24T00:00,9.0,8,1,Athens
2022-12-24T00:00,76.0,61,2,DEARBORN
2022-12-24T00:00,15.0,14,1,Sandersville
2022-12-24T00:00,7.0,6,1,Greenville-ESC
2022-12-24T00:00,119.0,83,2,GT Craig NCore
2022-12-24T00:00,6.0,6,1,Palatka
2022-12-24T00:00,7.0,6,1,Kooker Park
2022-12-24T00:00,6.0,6,1,Mandarin
2022-12-24T00:00,12.0,11,1,Seminole Community College (AG COMP)
2022-12-24T00:00,8.0,7,1,Savannah L&A
2022-12-24T00:00,8.0,7,1,Cayce City Hall
2022-12-24T00:00,13.0,12,1,Blind Services; 1185-A Dunn Ave
2022-12-24T00:00,6.0,6,1,Ramblewood Park
2022-12-24T00:00,3.0,3,1,GARINGER
2022-12-24T00:00,9.0,8,1,HATTIEAVEN
2022-12-24T00:00,7.0,6,1,Jenkins Avenue
2022-12-24T00:00,8.0,7,1,MENDNHAL
2022-12-24T00:00,7.0,6,1,W OWEN SCH
2022-12-24T00:00,4.0,4,1,Durham Armory
2022-12-24T00:00,9.0,8,1,Burdens Creek
2022-12-24T00:00,8.0,7,1,Millbrook NCore
2022-12-24T00:00,9.0,8,1,LESTER BUILDING SYSTEMS  NEAR REST
2022-12-24T00:00,9.0,8,1,CASTLE H
2022-12-24T00:00,9.0,8,1,MATH & SCIENCE CTR
2022-12-24T00:00,10.0,9,1,FRANCONIA
2022-12-24T00:00,9.0,8,1,HAMPTON
2022-12-24T00:00,13.0,12,1,Princess Anne
2022-12-24T00:00,9.0,8,1,Pocomoke City
2022-12-24T01:00,18.0,17,1,Ft McD Yuma Frank-AZ
