datetime,parameter,concentration,AQI,AQI cat,station_name
2022-12-29T02:00,PM2.5,2.3,10,1,Mt Vernon-S 2nd St
2022-12-29T02:00,PM2.5,5.3,22,1,Estacada Clackamas River Elementary School
2022-12-29T02:00,PM2.5,2.5,10,1,Abbotsford Airport
2022-12-29T02:00,PM10,5.0,5,1,Abbotsford Airport
2022-12-29T02:00,PM2.5,5.0,21,1,Seattle-South Park
2022-12-29T02:00,PM2.5,5.7,24,1,Seattle-10th & Weller
2022-12-29T02:00,PM2.5,4.2,18,1,Abbotsford
2022-12-29T02:00,PM10,5.0,5,1,Abbotsford
2022-12-29T02:00,PM2.5,3.8,16,1,Seattle-Beacon Hill
2022-12-29T02:00,PM2.5,8.2,34,1,Oakland West
2022-12-29T02:00,PM2.5,3.9,16,1,Tukwila_Allentown
2022-12-29T02:00,PM2.5,2.6,11,1,Lake Forest Park-Town Center
2022-12-29T02:00,PM2.5,9.2,38,1,Laney College
2022-12-29T02:00,PM2.5,9.7,40,1,Red Bluff - Walnut office
2022-12-29T02:00,PM2.5,4.4,18,1,Kent-James & Central
2022-12-29T02:00,PM2.5,9.8,41,1,Auburn 29th St
2022-12-29T02:00,PM2.5,9.4,39,1,Redwood City
2022-12-29T02:00,PM2.5,12.2,51,2,Willows-Colusa
2022-12-29T02:00,PM10,12.0,11,1,Willows-Colusa
2022-12-29T02:00,PM2.5,7.8,33,1,Marysville-7th Ave
2022-12-29T02:00,PM2.5,11.3,47,1,Oakland
2022-12-29T02:00,PM2.5,10.2,43,1,Williams Lake Columneetza School
2022-12-29T02:00,PM10,11.0,10,1,Williams Lake Columneetza School
2022-12-29T02:00,PM2.5,1.0,4,1,Bellevue-SE 12th
2022-12-29T02:00,PM2.5,8.9,37,1,Maple Falls-Azure Way
2022-12-29T02:00,PM2.5,5.4,23,1,SLV Middle School AMS
2022-12-29T02:00,PM2.5,7.6,32,1,Concord
2022-12-29T02:00,PM2.5,7.2,30,1,Colusa - Sunrise Blvd.
2022-12-29T02:00,PM10,4.0,4,1,Colusa - Sunrise Blvd.
2022-12-29T02:00,PM2.5,11.3,47,1,Santa Cruz AMS
2022-12-29T02:00,PM2.5,0.2,1,1,Vacaville
2022-12-29T02:00,PM2.5,8.4,35,1,Chilliwack
2022-12-29T02:00,PM10,9.0,8,1,Chilliwack
2022-12-29T02:00,PM2.5,0.1,0,1,Enumclaw Mud Mt (SO)
2022-12-29T02:00,PM2.5,2.2,9,1,Chiloquin
2022-12-29T02:00,PM2.5,4.9,20,1,Pleasanton - Owens Ct.
2022-12-29T02:00,PM2.5,7.0,29,1,San Jose - Jackson St.
2022-12-29T02:00,PM2.5,9.1,38,1,San Jose - Knox Ave
2022-12-29T02:00,PM2.5,10.0,42,1,Chico -  East
2022-12-29T02:00,PM10,22.0,20,1,Chico -  East
2022-12-29T02:00,PM2.5,5.8,24,1,Livermore - Rincon
2022-12-29T02:00,PM2.5,2.7,11,1,Davis - UCD Campus
2022-12-29T02:00,PM2.5,8.7,36,1,Agassiz
2022-12-29T02:00,PM2.5,5.6,23,1,Carmel Valley AMS
2022-12-29T02:00,PM2.5,7.7,32,1,Woodland
2022-12-29T02:00,PM2.5,3.5,15,1,Klamath Falls - Peterson School
2022-12-29T02:00,PM2.5,8.2,34,1,Rio Vista
2022-12-29T02:00,PM2.5,9.7,40,1,Salinas AMS
2022-12-29T02:00,PM2.5,11.0,46,1,Yuba City
2022-12-29T02:00,PM10,15.0,14,1,Yuba City
2022-12-29T02:00,PM2.5,2.1,9,1,Darrington-Fir St
2022-12-29T02:00,PM2.5,10.5,44,1,Paradise Theater
2022-12-29T02:00,PM2.5,11.7,49,1,Gilory - 9th Street
2022-12-29T02:00,PM2.5,4.1,17,1,Sisters Forest Service
2022-12-29T02:00,PM10,19.0,18,1,San Juan Bautista AMS
2022-12-29T02:00,PM2.5,8.9,37,1,Hood River West Side FD
2022-12-29T02:00,PM2.5,9.2,38,1,Bercut Dr
2022-12-29T02:00,PM2.5,1.8,8,1,Hope
2022-12-29T02:00,PM10,6.0,6,1,Hope
2022-12-29T02:00,PM2.5,6.3,26,1,Downtown Sacramento - T Street
2022-12-29T02:00,PM10,14.0,13,1,Downtown Sacramento - T Street
2022-12-29T02:00,PM10,16.0,15,1,TracyAP
2022-12-29T02:00,PM2.5,2.8,12,1,TracyAP
2022-12-29T02:00,PM2.5,2.2,9,1,Sunriver Three Rivers School
2022-12-29T02:00,PM2.5,3.7,15,1,Elk Grove
2022-12-29T02:00,PM2.5,10.2,43,1,Arden Arcade - Del Paso Manor
2022-12-29T02:00,PM2.5,4.1,17,1,Hollister AMS
2022-12-29T02:00,PM10,11.0,10,1,Hollister AMS
2022-12-29T02:00,PM2.5,7.0,29,1,Lincoln
