Duluth-WDSE,2022-12-27T23:00,,,,4.4,18.0,1.0
Lafayette,2022-12-27T23:00,,,,12.4,52.0,2.0
PUBLIC HEALTH,2022-12-27T23:00,,,,10.4,43.0,1.0
Ely,2022-12-27T23:00,,,,3.3,14.0,1.0
Capitol,2022-12-27T23:00,,,,14.8,57.0,2.0
French Settlement,2022-12-27T23:00,,,,17.9,63.0,2.0
Thibodaux,2022-12-27T23:00,,,,17.7,63.0,2.0
CLEVELAND,2022-12-27T23:00,,,,14.1,55.0,2.0
Ladue,2022-12-27T23:00,,,,6.7,28.0,1.0
Forest Park,2022-12-27T23:00,,,,10.2,43.0,1.0
South Broadway,2022-12-27T23:00,,,,1.5,6.0,1.0
Hinds CC,2022-12-27T23:00,,,,6.3,26.0,1.0
Madisonville,2022-12-27T23:00,,,,5.3,22.0,1.0
City Park,2022-12-27T23:00,,,,7.5,31.0,1.0
HERNANDO,2022-12-27T23:00,,,,14.7,56.0,2.0
Grand Portage,2022-12-27T23:00,,,,4.8,20.0,1.0
WAVELAND,2022-12-27T23:00,,,,7.3,30.0,1.0
Hattiesburg,2022-12-27T23:00,,,,7.6,32.0,1.0
GPORT YC,2022-12-27T23:00,,,,7.0,29.0,1.0
PASCAGOULA,2022-12-27T23:00,,,,5.0,21.0,1.0
OWENPRI,2022-12-27T23:00,,,,19.0,66.0,2.0
Huntsville Old Airport,2022-12-27T23:00,,,,11.2,47.0,1.0
SENEY,2022-12-27T23:00,,,,3.7,15.0,1.0
ETOWN2,2022-12-27T23:00,,,,13.7,54.0,2.0
KALAMAZOO,2022-12-27T23:00,,,,14.7,56.0,2.0
Riverside,2022-12-27T23:00,,,,11.4,48.0,1.0
HOUGHTON LAKE,2022-12-27T23:00,,,,8.9,37.0,1.0
SOMERST,2022-12-27T23:00,,,,9.0,38.0,1.0
LANSING,2022-12-27T23:00,,,,13.0,53.0,2.0
NEWTWN,2022-12-27T23:00,,,,10.2,43.0,1.0
NKU,2022-12-27T23:00,,,,12.3,51.0,2.0
TECUMSEH,2022-12-27T23:00,,,,19.9,67.0,2.0
BAY CITY,2022-12-27T23:00,,,,13.6,54.0,2.0
MIDAIR,2022-12-27T23:00,,,,11.0,46.0,1.0
FLINT,2022-12-27T23:00,,,,13.2,53.0,2.0
YPSILANTI,2022-12-27T23:00,,,,19.5,67.0,2.0
BRYSON,2022-12-27T23:00,,,,3.4,14.0,1.0
ELIZA HOWELL-NR,2022-12-27T23:00,,,,25.9,80.0,2.0
HAZ2,2022-12-27T23:00,,,,8.5,35.0,1.0
ALLEN PARK,2022-12-27T23:00,,,,18.6,65.0,2.0
NMH48217,2022-12-27T23:00,,,,20.3,68.0,2.0
TRINITY,2022-12-27T23:00,,,,22.5,73.0,2.0
DETROIT-SW,2022-12-27T23:00,,,,20.3,68.0,2.0
MILITARY PARK,2022-12-27T23:00,,,,22.5,73.0,2.0
DP4TH,2022-12-27T23:00,,,,19.8,67.0,2.0
GRAYSON,2022-12-27T23:00,,,,6.7,28.0,1.0
NEW HAVEN,2022-12-27T23:00,,,,19.7,67.0,2.0
FIVCO,2022-12-27T23:00,,,,8.3,35.0,1.0
BDED,2022-12-27T23:00,,,,3.9,16.0,1.0
PIKE2001,2022-12-27T23:00,,,,6.5,27.0,1.0
PORT HURON,2022-12-27T23:00,,,,16.0,59.0,2.0
Spruce Pine,2022-12-27T23:00,,,,4.4,18.0,1.0
TK Gregg,2022-12-27T23:00,,,,7.5,31.0,1.0
Trenton,2022-12-27T23:00,,,,4.8,20.0,1.0
CHARLESTON,2022-12-27T23:00,,,,8.6,36.0,1.0
HICKORY,2022-12-27T23:00,,,,8.3,35.0,1.0
Irmo,2022-12-27T23:00,,,,8.6,36.0,1.0
Parklane,2022-12-27T23:00,,,,9.4,39.0,1.0
MOUNDSVILLE,2022-12-27T23:00,,,,13.0,53.0,2.0
Farrell,2022-12-27T23:00,,,,12.8,52.0,2.0
Florence,2022-12-27T23:00,,,,8.4,35.0,1.0
ROCKWELL,2022-12-27T23:00,,,,4.5,19.0,1.0
Clemmons Middle,2022-12-27T23:00,,,,5.4,23.0,1.0
V_VIEW,2022-12-27T23:00,,,,2.9,12.0,1.0
Beaver Falls,2022-12-27T23:00,,,,9.8,41.0,1.0
LWATTOWR,2022-12-27T23:00,,,,8.9,37.0,1.0
Chesterfield,2022-12-27T23:00,,,,3.6,15.0,1.0
Near Road,2022-12-27T23:00,,,,5.3,22.0,1.0
Near Road,2022-12-27T23:00,,,,7.9,33.0,1.0
POMPANO_BEACH,2022-12-27T23:00,,,,3.2,13.0,1.0
Erie,2022-12-27T23:00,,,,17.7,63.0,2.0
North Charleston F.S.,2022-12-27T23:00,,,,8.0,33.0,1.0
Charleroi,2022-12-27T23:00,,,,15.0,57.0,2.0
Candor FRO,2022-12-27T23:00,,,,9.9,41.0,1.0
Williams Middle School,2022-12-27T23:00,,,,8.5,35.0,1.0
Cape Romain,2022-12-27T23:00,,,,5.7,24.0,1.0
Kittanning,2022-12-27T23:00,,,,9.3,39.0,1.0
Temiscaming,2022-12-27T23:00,,,,4.7,20.0,1.0
Strongstown,2022-12-27T23:00,,,,9.9,41.0,1.0
Johnstown,2022-12-27T23:00,,,,10.1,42.0,1.0
Triple Oak - Near Road,2022-12-27T23:00,,,,5.0,21.0,1.0
JOHNSTON,2022-12-27T23:00,,,,7.2,30.0,1.0
Altoona,2022-12-27T23:00,,,,12.0,50.0,1.0
State College,2022-12-27T23:00,,,,9.7,40.0,1.0
Radisson,2022-12-27T23:00,,,,0.7,3.0,1.0
Hagerstown,2022-12-27T23:00,,,,5.2,22.0,1.0
Northampton,2022-12-27T23:00,,,,11.2,47.0,1.0
LEGGETT,2022-12-27T23:00,,,,8.5,35.0,1.0
PITTAGCT,2022-12-27T23:00,,,,2.7,11.0,1.0
Arendtsville,2022-12-27T23:00,,,,9.9,41.0,1.0
Senneterre,2022-12-27T23:00,,,,0.9,4.0,1.0
Carlisle,2022-12-27T23:00,,,,11.1,46.0,1.0
Rockville,2022-12-27T23:00,,,,4.9,20.0,1.0
Harrisburg,2022-12-27T23:00,,,,12.4,52.0,2.0
Howard County Near Road,2022-12-27T23:00,,,,6.2,26.0,1.0
York,2022-12-27T23:00,,,,10.9,45.0,1.0
Padonia,2022-12-27T23:00,,,,6.6,28.0,1.0
Lake Montebello,2022-12-27T23:00,,,,6.7,28.0,1.0
Lebanon,2022-12-27T23:00,,,,12.4,52.0,2.0
Edgewood,2022-12-27T23:00,,,,6.5,27.0,1.0
Horn Point,2022-12-27T23:00,,,,5.8,24.0,1.0
Lancaster DW,2022-12-27T23:00,,,,28.7,86.0,2.0
Reading Airport,2022-12-27T23:00,,,,11.1,46.0,1.0
Fair Hill,2022-12-27T23:00,,,,12.9,53.0,2.0
Millington,2022-12-27T23:00,,,,7.7,32.0,1.0
New Garden,2022-12-27T23:00,,,,12.9,53.0,2.0
Gatineau - Hull,2022-12-27T23:00,,,,5.3,22.0,1.0
Scranton,2022-12-27T23:00,,,,8.5,35.0,1.0
Allentown,2022-12-27T23:00,,,,9.6,40.0,1.0
Mont-Saint-Michel,2022-12-27T23:00,,,,2.8,12.0,1.0
Marcus Hook,2022-12-27T23:00,,,,14.3,56.0,2.0
Chester,2022-12-27T23:00,,,,12.8,52.0,2.0
Freemansburg,2022-12-27T23:00,,,,11.9,50.0,1.0
Norristown,2022-12-27T23:00,,,,12.6,52.0,2.0
Saint-Anicet,2022-12-27T23:00,,,,3.5,15.0,1.0
Laval - Chomedey,2022-12-27T23:00,,,,9.2,38.0,1.0
Terrebonne - Parc Vaillant,2022-12-27T23:00,,,,13.5,54.0,2.0
Longueuil,2022-12-27T23:00,,,,11.0,46.0,1.0
Brossard - Parc Sorbonne,2022-12-27T23:00,,,,7.6,32.0,1.0
Saint-Simon,2022-12-27T23:00,,,,4.8,20.0,1.0
Saint-Jean-sur-Richelieu - L'Acadie,2022-12-27T23:00,,,,4.4,18.0,1.0
Bennington,2022-12-27T23:00,,,,8.1,34.0,1.0
Burlington,2022-12-27T23:00,,,,5.6,23.0,1.0
RUTLAND,2022-12-27T23:00,,,,8.0,33.0,1.0
Charette,2022-12-27T23:00,,,,4.5,19.0,1.0
Underhill,2022-12-27T23:00,,,,3.2,13.0,1.0
Rés. Faun. Ashuapmushuan - Pémonka,2022-12-27T23:00,,,,1.0,4.0,1.0
Shawinigan - Saint-Marc,2022-12-27T23:00,,,,4.7,20.0,1.0
Granby - Parc Poitevin,2022-12-27T23:00,,,,17.0,61.0,2.0
Saint-Zéphirin-de-Courval,2022-12-27T23:00,,,,3.4,14.0,1.0
Drummondville - Stade Jacques-Desautels,2022-12-27T23:00,,,,8.7,36.0,1.0
Bécancour,2022-12-27T23:00,,,,3.2,13.0,1.0
Deschambault,2022-12-27T23:00,,,,0.0,0.0,1.0
Tingwick,2022-12-27T23:00,,,,4.1,17.0,1.0
W Greenwich,2022-12-27T23:00,,,,5.6,23.0,1.0
Narragansett,2022-12-27T23:00,,,,7.1,30.0,1.0
E Providence,2022-12-27T23:00,,,,4.1,17.0,1.0
La Patrie - Ditton,2022-12-27T23:00,,,,2.3,10.0,1.0
Québec - Vieux-Limoilou,2022-12-27T23:00,,,,3.4,14.0,1.0
Saguenay - Parc Powell,2022-12-27T23:00,,,,8.4,35.0,1.0
Lévis - Parc Georges Maranda,2022-12-27T23:00,,,,3.0,13.0,1.0
Saint-Hilaire-de-Dorset,2022-12-27T23:00,,,,3.3,14.0,1.0
Notre-Dame-du-Rosaire,2022-12-27T23:00,,,,2.4,10.0,1.0
Curacao,2022-12-27T23:00,,,,13.0,53.0,2.0
Auclair,2022-12-27T23:00,,,,1.5,6.0,1.0
